번호,종목코드,기업명,업종코드,업종,상장주식수(주),자본금(원),액면가(원),통화구분,대표전화,주소,총카운트
57,024940,PN풍년,032509,기타 금속 가공제품 제조업,"10,000,000","5,000,000,000","500",원(KRW),02-2008-1030,경기도 안산시 단원구 별망로 620 ,1324
58,218410,RFHIC,032604,통신 및 방송 장비 제조업,"22,477,756","11,238,878,000","500",원(KRW),031-8069-3016,경기도 안양시 동안구 부림로 170 41-14(관양동),1324
59,091340,S&K폴리텍,032602,전자부품 제조업,"11,703,721","5,851,860,500","500",원(KRW),031-432-8061,경기도 안산시 단원구 시화벤처로 515 성곡동 808-6번지,1324
60,019550,SBI인베스트먼트,116402,신탁업 및 집합투자업,"162,066,575","83,533,287,500","500",원(KRW),02-2139-9200,서울특별시 강남구 테헤란로 509엔씨타워1 14층 ,1324
61,950110,SBI핀테크솔루션즈,105802,소프트웨어 개발 및 공급업,"24,656,540","0","0",일본엔(JPY),81-3-3498-5011,"일본 동경 시부야구 시부야 2-1-1, 아오야마 퍼스트 빌딩 ",1324
62,046140,SBS콘텐츠허브,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업","21,463,555","10,731,777,500","500",원(KRW),02-2001-0631,"서울특별시 마포구 상암산로 82 SBS프리즘타워 15, 16층 ",1324
63,036120,SCI평가정보,147509,기타 사업지원 서비스업,"35,500,000","17,750,000,000","500",원(KRW),02  -3445-5000,서울특별시 마포구  토정로 144 건양사빌딩 ,1324
64,099220,SDN,074605,기계장비 및 관련 물품 도매업,"41,731,440","20,865,720,000","500",원(KRW),02-446-6691,경기도 성남시 분당구 대왕판교로644번길 21메디포스트 3층  ,1324
65,036540,SFA반도체,032601,반도체 제조업,"141,121,631","70,818,115,500","500",원(KRW),041 -529 -0708,충청남도 천안시 서북구  백석공단7로 16 STS반도체통신(주) ,1324
66,255220,SG,032309,기타 비금속 광물제품 제조업,"12,506,024","1,250,602,400","100",원(KRW),032-574-6525,"인천광역시 서구 봉수대로300번길 15, 300번길 9 &nbsp",1324
67,040610,SG&G,033003,자동차 신품 부품 제조업,"34,087,196","17,043,598,000","500",원(KRW),02-2105-6315,경기도 성남시 분당구 대왕판교로606번길 47 SG타워 7층,1324
68,049470,SGA,105802,소프트웨어 개발 및 공급업,"96,724,499","48,362,249,500","500",원(KRW),070-7308-9319,"서울특별시 송파구 법원로11길 25 에이동 801호(문정동, 에이치비지니스파크) ",1324
69,184230,SGA솔루션즈,105802,소프트웨어 개발 및 공급업,"33,905,098","3,390,509,800","100",원(KRW),02-574-6856,"서울특별시 송파구 법원로11길 25 에이동 901호(문정동, 에이치비지니스파크) ",1324
70,232330,SK3호스팩,116601,금융 지원 서비스업,"3,600,000","360,000,000","100",원(KRW),02-3773-8373,"서울특별시 영등포구 국제금융로8길 31 여의도동, 에스케이증권빌딩",1324
71,307070,SK4호스팩,116601,금융 지원 서비스업,"5,160,000","516,000,000","100",원(KRW),02-3773-9151,서울특별시 영등포구 국제금융로8길 31 4층 &nbsp,1324
72,057500,SKC 솔믹스,032602,전자부품 제조업,"61,494,040","30,747,020,000","500",원(KRW),(031)660-8400,경기도 평택시  경기대로 1043 ,1324
73,178920,SKC코오롱PI,032202,플라스틱제품 제조업,"29,366,322","14,683,161,000","500",원(KRW),031-436-8600,충청북도 진천군 이월면 고등1길 27 ,1324
74,036490,SK머티리얼즈,032001,기초 화학물질 제조업,"10,547,673","5,273,836,500","500",원(KRW),054-630-8114,경상북도 영주시  가흥공단로 59-33 ,1324
75,052260,SK바이오랜드,032004,기타 화학제품 제조업,"15,000,000","7,500,000,000","500",원(KRW),041-550-7700,충청남도 천안시 동남구  병천면 송정리2길 59 ,1324
76,048550,SM C&C,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업","94,061,026","47,030,513,000","500",원(KRW),02-3788-0000,서울특별시 강남구 삼성로 648한섬빌딩 ,1324
77,063440,SM Life Design,031802,기록매체 복제업,"44,190,228","22,455,114,000","500",원(KRW),031-955-7171,경기도 파주시 직지길 376 ,1324
78,289080,SV인베스트먼트,116409,기타 금융업,"26,617,000","13,308,500,000","500",원(KRW),02-3775-1020,"서울특별시 영등포구 국제금융로 10 46층 (여의도동, 쓰리아이에프씨)",1324
79,089230,THE E&M,106309,기타 정보 서비스업,"91,860,980","9,186,098,000","100",원(KRW),02-2088-8222,서울특별시 서초구 서초대로 398 플래티넘 타워 6층 ,1324
80,161570,THE MIDONG,032605,영상 및 음향기기 제조업,"13,791,786","6,895,893,000","500",원(KRW),070-7425-0614,서울특별시 서초구 남부순환로 2652 대명빌딩 7층 ,1324
81,032540,TJ미디어,032605,영상 및 음향기기 제조업,"13,931,609","6,965,804,500","500",원(KRW),02  -3663-4700,서울특별시 강서구 화곡로64길 23 ,1324
82,048770,TPC,032901,일반 목적용 기계 제조업,"12,900,000","6,450,000,000","500",원(KRW),032 -572 -1700,인천광역시 서구 갑문2로 39 (오류동) 단해창도클러스터 ,1324
83,038340,UCI,168505,일반 교습 학원,"13,434,453","6,767,226,500","500",원(KRW),(02)3438-6900,"서울특별시 구로구 디지털로33길 48 604호(구로동, 대륭포스트타워7차)",1324
84,052300,W홀딩컴퍼니,085209,기타 운송관련 서비스업,"132,305,696","13,230,569,600","100",원(KRW),02-6237-9786,서울특별시 강남구 언주로148길 19 청호빌딩 4층 ,1324
85,040300,YTN,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업","42,000,000","42,000,000,000","1,000",원(KRW),(02) 398-8000,서울특별시 마포구 상암산로 76와이티엔뉴스퀘어 ,1324
86,051390,YW,074608,상품 종합 도매업,"11,355,368","5,677,684,000","500",원(KRW),(031)703-7118,"경기도 성남시 분당구  야탑남로 280 801(야탑동,분당테크노파크씨동)",1324
87,052220,iMBC,106301,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","23,000,000","11,500,000,000","500",원(KRW),(02)2105-1100,"서울특별시 마포구 성암로 25510층(상암동, 문화방송미디어센터) ",1324
88,079940,가비아,105802,소프트웨어 개발 및 공급업,"13,535,684","6,767,842,000","500",원(KRW),1544-4370,"경기도 성남시 분당구  대왕판교로 660 유스페이스1 B동 401호,501호",1324
89,078890,가온미디어,032604,통신 및 방송 장비 제조업,"14,514,801","7,257,400,500","500",원(KRW),031-724-8500,경기도 성남시 분당구  성남대로 884-3 ,1324
90,192410,감마누,032604,통신 및 방송 장비 제조업,"24,435,800","12,217,900,000","500",원(KRW),031-831-8800,경기도 화성시 동탄면 금곡로 185-44 ,1324
91,024840,갑을메탈,032402,1차 비철금속 제조업,"31,683,973","15,841,986,500","500",원(KRW),053 -615 -1161,대구광역시 달성군 논공읍 논공로87길 88 갑을메탈 대구공장,1324
92,217730,강스템바이오텍,032101,기초 의약물질 및 생물학적 제제 제조업,"20,824,937","10,412,468,500","500",원(KRW),02-888-1590,서울특별시 강남구 테헤란로 512 신안빌딩 17층,1324
93,094480,갤럭시아컴즈,105802,소프트웨어 개발 및 공급업,"39,229,838","19,614,919,000","500",원(KRW),02-3484-8400,서울시 강남구 수서동 715번지 수서오피스 빌딩 12층 ,1324
94,063080,게임빌,116409,기타 금융업,"6,595,192","3,297,596,000","500",원(KRW),02-876-5252,서울특별시 서초구  서초중앙로 4 게임빌빌딩,1324
95,039240,경남스틸,032401,1차 철강 제조업,"25,000,000","2,500,000,000","100",원(KRW),055 -252 -9208,경남 창원시 웅남동 61-46번지 ,1324
96,053950,경남제약,032102,의약품 제조업,"12,299,983","6,149,991,500","500",원(KRW),02-3490-5105,경상남도 의령군 동동리 1539-5 ,1324
97,011040,경동제약,032102,의약품 제조업,"26,550,000","13,575,000,000","500",원(KRW),02  -576 -6121,경기도 화성시  양감면 제약단지로 224-3 ,1324
98,024910,경창산업,033003,자동차 신품 부품 제조업,"35,819,005","17,909,502,500","500",원(KRW),053 -560 -0141,대구광역시 달서구 성서로35길 6 월암동,1324
99,198440,고려시멘트,032303,"시멘트, 석회, 플라스터 및 그 제품 제조업","31,979,960","3,197,996,000","100",원(KRW),061-390-6575,전라남도 장성군 장성읍 영천로 35 고려시멘트,1324
100,049720,고려신용정보,147509,기타 사업지원 서비스업,"14,300,000","7,150,000,000","500",원(KRW),02-3450-9000,"서울특별시 서초구 서초대로 353 (서초동, 유니온타워)",1324
101,014570,고려제약,032102,의약품 제조업,"11,000,000","5,500,000,000","500",원(KRW),02-529-6100,경기도 이천시  신둔면 원적로 69-10 ,1324
102,098460,고영,032902,특수 목적용 기계 제조업,"13,687,951","6,843,975,500","500",원(KRW),02-6343-6000,"서울특별시 금천구 가산디지털2로 53 (가산동, 한라시그마밸리 14층, 15층)",1324
103,038530,골드퍼시픽,074604,생활용품 도매업,"17,136,344","8,568,172,000","500",원(KRW),02-2029-0700,서울특별시 금천구 가산디지털1로 131 B동 604호,1324
104,307870,골든브릿지이안5호,116601,금융 지원 서비스업,"4,750,000","475,000,000","100",원(KRW),02-3779-3337,서울특별시 서대문구 충정로 50 골든브릿지빌딩 4층 ,1324
105,900280,골든센츄리,116409,기타 금융업,"93,400,000","18,680,000","0.2",미국달러(USD),02-780-8863,"Floor 4, Willow House, Cricket Square, P O Box 2084, Grand Cayman KY1-1112, Cayman Islands &nbsp",1324
106,215000,골프존,105802,소프트웨어 개발 및 공급업,"6,275,415","3,137,707,500","500",원(KRW),1577-4333,대전광역시 유성구 엑스포로97번길 40 (도룡동),1324
107,121440,골프존뉴딘홀딩스,116409,기타 금융업,"42,836,818","21,418,409,000","500",원(KRW),042-862-8109,서울특별시 강남구 영동대로 735- ,1324
108,014200,광림,033001,자동차용 엔진 및 자동차 제조업,"49,624,189","24,812,094,500","500",원(KRW),043 -260 -9111,충청북도 청원군  현도면 청남로 484 (주)광림 ,1324
109,026910,광진실업,032401,1차 철강 제조업,"6,405,405","3,202,702,500","500",원(KRW),051 -204 -9101,부산 사하구 신평동 370-103 ,1324
110,090150,광진윈텍,033003,자동차 신품 부품 제조업,"9,658,393","4,829,196,500","500",원(KRW),051-711-2222,부산광역시 기장군  장안읍 장안산단9로 110 ,1324
111,267320,교보7호스팩,116601,금융 지원 서비스업,"4,020,000","402,000,000","100",원(KRW),02-3771-9294,서울특별시 영등포구 의사당대로 97 (여의도동),1324
112,307280,교보8호스팩,116601,금융 지원 서비스업,"3,720,000","372,000,000","100",원(KRW),02-3771-9284,서울특별시 영등포구 의사당대로 97 &nbsp,1324
113,053270,구영테크,033003,자동차 신품 부품 제조업,"26,394,174","13,197,087,000","500",원(KRW),053-592-6111,대구광역시 달성군 구지면 국가산단대로39길 119 (창리),1324
114,066620,국보디자인,064204,실내건축 및 건축마무리 공사업,"7,500,000","3,750,000,000","500",원(KRW),(02)738-2700,서울 마포구 서교동 477-22 ,1324
115,043650,국순당,031101,알코올음료 제조업,"17,858,304","8,929,152,000","500",원(KRW),02  -5138-500,강원도 횡성군 둔내면 강변로 975 ,1324
116,006050,국영지앤엠,032301,유리 및 유리제품 제조업,"34,895,243","17,447,621,500","500",원(KRW),02-2015-0370,"서울시 서초구 서초중앙로 36 (서초동, 준영빌딩 7층) ",1324
117,060480,국일신동,032402,1차 비철금속 제조업,"11,090,000","5,545,000,000","500",원(KRW),031-499-9192,경기도 안산시 단원구 번영2로 58 &nbsp,1324
118,078130,국일제지,031709,기타 종이 및 판지 제품 제조업,"116,391,006","11,639,100,600","100",원(KRW),(031)339-9100,경기도 용인시 처인구  이동면 백옥대로 563 ,1324
119,019010,그랜드백화점,074701,종합 소매업,"4,820,000","24,100,000,000","5,000",원(KRW),02-3665-0101,서울특별시 강남구 선릉로62길 15 ,1324
120,900070,글로벌에스엠,116409,기타 금융업,"53,743,968","26,871,984","0.5",미국달러(USD),031-932-9970,"GEORGE TOWN,GRAND CAYMAN KY1-1112 CAYMAN ISLANDS SCOTLA CENTRE 4TH FLOOR,P.O.BOX2804,",1324
121,204620,글로벌텍스프리,116601,금융 지원 서비스업,"37,176,555","18,588,277,500","500",원(KRW),02-518-0837,"서울특별시 중구 퇴계로 131 9층(충무로2가, 신일빌딩)",1324
122,019660,글로본,074608,상품 종합 도매업,"28,523,435","14,261,717,500","500",원(KRW),031-698-7300,서울특별시 강남구 도산대로 331 -,1324
123,053260,금강철강,032401,1차 철강 제조업,"18,720,000","9,860,000,000","500",원(KRW),(02)3471-0001,"서울특별시 서초구  서운로 19 701호(서초동, 서초월드오피스텔)",1324
124,036190,금화피에스시,064203,전기 및 통신 공사업,"6,000,000","3,000,000,000","500",원(KRW),02  -2186-6220,서울특별시 강남구  테헤란로25길 15-4 ,1324
125,049080,기가레인,032902,특수 목적용 기계 제조업,"50,392,650","25,196,325,000","500",원(KRW),031-233-7325,경기도 화성시 동탄산단10길 61 - ,1324
126,035460,기산텔레콤,032604,통신 및 방송 장비 제조업,"14,577,340","7,288,670,000","500",원(KRW),02  -3431-8700,서울특별시 송파구  오금로 111 세기빌딩 11층,1324
127,187790,나노,032001,기초 화학물질 제조업,"23,851,615","11,925,807,500","500",원(KRW),054-533-5887,경상북도 상주시 청리면 마공공단로 60 -,1324
128,151910,나노스,032602,전자부품 제조업,"109,013,645","10,901,364,500","100",원(KRW),031-240-3900,경기도 화성시 마도면 마도공단로2길 4 -,1324
129,121600,나노신소재,032004,기타 화학제품 제조업,"10,848,333","5,424,166,500","500",원(KRW),044-275-6966,세종특별자치시   부강면 금호안골길 78 부용지방산업단지내,1324
130,039860,나노엔텍,032701,의료용 기기 제조업,"26,292,790","13,146,395,000","500",원(KRW),02-6220-7728,서울특별시 구로구  디지털로26길 5 에이스하이엔드타워1차 1210호,1324
131,091970,나노캠텍,032202,플라스틱제품 제조업,"21,202,036","10,601,018,000","500",원(KRW),031-671-9466,경기도 용인시 처인구 남사면 완장천로 42-34 ,1324
132,051490,나라엠앤디,032902,특수 목적용 기계 제조업,"14,200,000","7,230,000,000","500",원(KRW),055-239-3600,경상남도 창원시 성산구  공단로 675 나라엠앤디(주) ,1324
133,190510,나무가,032602,전자부품 제조업,"3,430,020","1,912,749,500","500",원(KRW),070-7012-8400,"경기도 성남시 중원구 사기막골로 124, 709호(상대원동, SKn테크노파크) &nbsp",1324
134,242040,나무기술,105802,소프트웨어 개발 및 공급업,"27,247,820","2,724,782,000","100",원(KRW),031-8017-3900,"경기도 성남시 분당구 판교로 255 5층(삼평동, 이노밸리F동)",1324
135,089600,나스미디어,137103,광고업,"8,754,691","4,557,703,000","500",원(KRW),02-2188-7300,"서울특별시 강남구 도곡로1길 14 삼일프라자오피스텔4,5F ",1324
136,293580,나우아이비캐피탈,116409,기타 금융업,"9,480,000","47,400,000,000","5,000",원(KRW),02-565-6234,서울특별시 강남구 삼성로 511 골든타워 11층,1324
137,138610,나이벡,032103,의료용품 및 기타 의약 관련제품 제조업,"6,367,958","3,183,979,000","500",원(KRW),043-532-7458,충청북도 진천군  이월면 밤디길 116 이월전기전자농공1단지,1324
138,130580,나이스디앤비,147509,기타 사업지원 서비스업,"15,400,000","7,700,000,000","500",원(KRW),02-2122-2370,서울특별시 마포구 마포대로 217 (아현동),1324
139,036800,나이스정보통신,106102,전기 통신업,"10,000,000","5,000,000,000","500",원(KRW),02  -2187-2700,서울특별시 영등포구 은행로 17 NICE 그룹1사옥 ,1324
140,111710,남화산업,189101,스포츠 서비스업,"20,588,000","4,117,600,000","200",원(KRW),,전라남도 무안군 청계면 서호로 162 ,1324
141,091590,남화토건,064101,건물 건설업,"11,740,000","5,870,000,000","500",원(KRW),062-520-1072,전라남도 화순군 화순읍 벽라1길 40 ,1324
142,168330,내츄럴엔도텍,137001,자연과학 및 공학 연구개발업,"20,665,822","10,332,911,000","500",원(KRW),070-4601-3139,"경기도 성남시 분당구 판교로 255 번길 58, 에이동 301호 ",1324
143,072770,네오디안테크놀로지,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","35,957,518","17,978,759,000","500",원(KRW),02-2082-2800,서울특별시 서초구 방배로34길 8 다원빌딩 301호,1324
144,253590,네오셈,032702,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","33,141,514","3,314,151,400","100",원(KRW),02-769-3921,경기도 안양시 동안구 시민대로327번길 12-26 주식회사 네오셈,1324
145,212560,네오오토,033003,자동차 신품 부품 제조업,"7,874,963","3,937,481,500","500",원(KRW),02-732-2871,"서울특별시 종로구 새문안로5길 19 6층(당주동, 로얄빌딩)",1324
146,095660,네오위즈,105802,소프트웨어 개발 및 공급업,"21,915,008","10,957,504,000","500",원(KRW),031-8023-6600,경기도 성남시 분당구 대왕판교로645번길 14네오위즈판교타워 ,1324
147,042420,네오위즈홀딩스,116409,기타 금융업,"8,856,866","4,653,433,000","500",원(KRW),031-8023-6503,경기도 성남시 분당구 대왕판교로645번길 14네오위즈판교타워 ,1324
148,085910,네오티스,033003,자동차 신품 부품 제조업,"11,013,678","5,506,839,000","500",원(KRW),031-671-0170,경기도 안성시  죽산면 용대길 38-9 ,1324
149,092730,네오팜,032004,기타 화학제품 제조업,"7,461,237","3,730,618,500","500",원(KRW),042-864-0038,대전 유성구 탑립동 928번지 ,1324
150,290660,네오펙트,032701,의료용 기기 제조업,"11,873,545","5,936,772,500","500",원(KRW),031-889-8521,"경기도 용인시 수지구 죽전로 152, 서관 401호 &nbsp",1324
151,153460,네이블커뮤니케이션즈,105802,소프트웨어 개발 및 공급업,"6,530,014","3,265,007,000","500",원(KRW),070-7780-9910,"서울특별시 강남구 학동로 401 8층(청담동, 금하빌딩) ",1324
